0	0.5 	0.5	0.5
0	0.75 	0.75	0.75
0	0.78 	0.78	0.78
0	0.8 	0.8	0.81
0	0.82 	0.82	0.84
0	0.85	0.85	0.86
0	0.88	0.88	0.88
0 	0.9	0.9	0.9
0	0.91	0.91	0.91
0	0.92	0.923	0.92
0	0.93	0.93	0.93
0	0.933	0.942	0.954
0	0.943	0.951	0.953
0	0.953	0.963	0.963
0	0.962	0.976	0.963
0	0.97	0.98	0.97
0	0.978	0.982	0.967
0.1	0.981	0.988	0.973
0.2	0.993	0.991	0.977
0.3	0.995	0.994	0.987
0.4	0.998	0.999	0.994
0.5	1.000	1.003	1.001
0.6	1.015	1.019	1.010
0.9	1.022	1.025	1.020
1	1.025	1.028	1.030
1	1.031	1.033	1.033
1	1.036	1.036	1.041
1	1.041	1.038	1.045
1	1.044	1.045	1.051
1	1.047	1.056	1.055
1	1.1	1.1	1.1
